id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
10679,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Percolate (Campaign Planning),2,6,2,0 - Avoid,2
10680,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Sprinklr (Campaign Planning),3,6,2,0 - Avoid,2
10681,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Adobe Analytics (Campaign Optimization),3,6,2,1 - Develop,2
10682,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Tableau (Campaign Optimization),3,6,2,1 - Develop,2
10683,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Pardot (Campaign Optimization),3,6,2,0 - Avoid,2
10684,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Salesforce (Leads),3,6,2,1 - Develop,2
10685,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Marketo (Leads /Campaign Planning),3,6,2,0 - Avoid,2
10686,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Hubspot (Leads),3,6,2,0 - Avoid,2
10687,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,SugarCRM (Leads),3,6,2,0 - Avoid,2
10688,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Brightedge (SEO/SEM),3,6,2,0 - Avoid,2
10689,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,MOZ (SEO/SEM),3,6,2,0 - Avoid,2
10690,97,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Facebook Advertising/Engagement (Social),3,6,2,0 - Avoid,2
